setting up parameters 
 -0.0032868 -0.00221119 0.179138;
 -0.00333379 -0.0022428 0.1817;
 -0.00329454 -0.0022164 0.179561;
 -0.00333309 -0.00224233 0.181661;
 -0.00330805 -0.00222548 0.180297;
 -0.00330924 -0.00222628 0.180361;
 -0.00332328 -0.00223573 0.181127;
 -0.00330682 -0.00222466 0.18023;
 -0.00331911 -0.00223293 0.1809;
 -0.00333531 -0.00224383 0.181783;
 -0.00328695 -0.00221129 0.179147;
 -0.00330472 -0.00222324 0.180115;
 -0.00333502 -0.00224363 0.181767;
 -0.0032964 -0.00221765 0.179662;
 -0.00326564 -0.00219696 0.177986;
 -0.00333842 -0.00224592 0.181952;
 -0.00332425 -0.00223639 0.18118;
 -0.0032892 -0.0022128 0.179269;
 -0.00330212 -0.00222149 0.179973;
 -0.00333649 -0.00224462 0.181847;
 -0.00332476 -0.00223673 0.181208;
 -0.00337338 -0.00226943 0.183857;
 -0.00331158 -0.00222786 0.180489;
 -0.00331891 -0.0022328 0.180889;
 -0.00333438 -0.0022432 0.181732;
 -0.00329843 -0.00221901 0.179772;
 -0.00333467 -0.0022434 0.181748;
 -0.00326332 -0.00219539 0.177859;
 -0.00331233 -0.00222836 0.18053;
 -0.00332199 -0.00223486 0.181057;
 -0.00330877 -0.00222597 0.180336;
 -0.00332817 -0.00223902 0.181394;
 -0.0033161 -0.0022309 0.180736;
 -0.00330623 -0.00222426 0.180198;
 -0.00330141 -0.00222102 0.179935;
 -0.00331324 -0.00222898 0.18058;
 -0.00328809 -0.00221206 0.179209;
 -0.00334342 -0.00224928 0.182224;
 -0.00336558 -0.00226419 0.183432;
 -0.00331385 -0.00222939 0.180613;
 -0.00333569 -0.00224408 0.181803;
 -0.00326809 -0.00219861 0.178119;
 -0.00332932 -0.0022398 0.181456;
 -0.00330712 -0.00222486 0.180246;
 -0.00331091 -0.00222741 0.180453;
 -0.00330914 -0.00222622 0.180356;
 -0.00332437 -0.00223646 0.181186;
 -0.00335305 -0.00225576 0.18275;
 -0.00331366 -0.00222926 0.180603;
 -0.0032919 -0.00221462 0.179417;
 -0.00327577 -0.00220377 0.178538;
 -0.00335774 -0.00225891 0.183005;
 -0.0033063 -0.00222431 0.180202;
 -0.00337564 -0.00227095 0.18398;
 -0.00329975 -0.0022199 0.179844;
 -0.00333795 -0.0022456 0.181926;
 -0.00328177 -0.0022078 0.178864;
 -0.00327486 -0.00220316 0.178488;
 -0.00331289 -0.00222874 0.180561;
 -0.00332868 -0.00223937 0.181421;
 -0.00333541 -0.00224389 0.181788;
 -0.00332571 -0.00223737 0.181259;
 -0.00336703 -0.00226517 0.183512;
 -0.00329749 -0.00221838 0.179721;
 -0.00331393 -0.00222944 0.180617;
 -0.00329491 -0.00221665 0.179581;
 -0.00330892 -0.00222607 0.180344;
 -0.00335427 -0.00225658 0.182816;
 -0.00328225 -0.00220813 0.178891;
 -0.00329038 -0.0022136 0.179334;
 -0.00331176 -0.00222798 0.180499;
 -0.00332785 -0.00223881 0.181376;
 -0.00335775 -0.00225892 0.183005;
 -0.00329446 -0.00221634 0.179556;
 -0.00331939 -0.00223311 0.180915;
 -0.00335619 -0.00225787 0.182921;
