setting up parameters 
 -0.00335407 -0.00225644 0.179955;
 -0.00331972 -0.00223334 0.179877;
 -0.00329661 -0.00221779 0.179522;
 -0.00328862 -0.00221241 0.17976;
 -0.00331998 -0.00223351 0.179947;
 -0.00330097 -0.00222072 0.18014;
 -0.00331054 -0.00222716 0.179559;
 -0.0032917 -0.00221449 0.179406;
 -0.00330393 -0.00222271 0.180072;
 -0.00329978 -0.00221992 0.179479;
 -0.0033412 -0.00224779 0.179441;
 -0.00336047 -0.00226075 0.18018;
 -0.00331504 -0.00223019 0.180232;
 -0.00334887 -0.00225295 0.179888;
 -0.00331426 -0.00222967 0.179952;
 -0.00333486 -0.00224352 0.180257;
 -0.00327416 -0.00220269 0.179787;
 -0.00333259 -0.002242 0.180616;
 -0.00331686 -0.00223141 0.17983;
 -0.00330111 -0.00222082 0.179919;
 -0.00335062 -0.00225412 0.180647;
 -0.00331766 -0.00223195 0.179688;
 -0.00328626 -0.00221083 0.180178;
 -0.00333947 -0.00224662 0.180549;
 -0.00331508 -0.00223021 0.18014;
 -0.00336116 -0.00226122 0.179829;
 -0.0033545 -0.00225674 0.18014;
 -0.0033314 -0.00224119 0.180948;
 -0.00327709 -0.00220466 0.179605;
 -0.00331501 -0.00223017 0.179729;
 -0.003313 -0.00222882 0.179768;
 -0.00333801 -0.00224564 0.180146;
 -0.00332169 -0.00223466 0.179814;
 -0.00330199 -0.00222141 0.179726;
 -0.00328715 -0.00221143 0.179498;
 -0.00332826 -0.00223908 0.179367;
 -0.00335814 -0.00225919 0.179951;
 -0.00334228 -0.00224852 0.180316;
 -0.00332187 -0.00223478 0.180179;
 -0.00331658 -0.00223123 0.18055;
 -0.0033126 -0.00222855 0.180252;
 -0.00338843 -0.00227956 0.179688;
 -0.00324979 -0.00218629 0.179753;
 -0.00330266 -0.00222186 0.17955;
 -0.00327669 -0.00220439 0.179743;
 -0.00329477 -0.00221655 0.179846;
 -0.00331171 -0.00222795 0.180026;
 -0.00328579 -0.00221051 0.179722;
 -0.00329913 -0.00221948 0.180412;
 -0.0033325 -0.00224194 0.17998;
 -0.0033448 -0.00225021 0.179832;
 -0.00332749 -0.00223856 0.180003;
 -0.00327706 -0.00220464 0.179764;
 -0.00331229 -0.00222834 0.180427;
 -0.00330592 -0.00222405 0.179799;
 -0.00327157 -0.00220094 0.179004;
 -0.00329704 -0.00221808 0.179286;
 -0.00335643 -0.00225804 0.18025;
 -0.00331588 -0.00223075 0.179394;
 -0.00335809 -0.00225915 0.180411;
 -0.00330661 -0.00222452 0.180237;
 -0.00337725 -0.00227204 0.181208;
 -0.00328633 -0.00221088 0.179687;
 -0.00334151 -0.002248 0.180263;
 -0.00327527 -0.00220343 0.179688;
 -0.0033205 -0.00223386 0.18093;
 -0.00332978 -0.00224011 0.179773;
 -0.00330372 -0.00222257 0.179959;
 -0.0032786 -0.00220568 0.180279;
 -0.003314 -0.00222949 0.179427;
 -0.00330036 -0.00222031 0.180241;
 -0.00328992 -0.00221329 0.179787;
 -0.00330574 -0.00222393 0.179999;
 -0.00330225 -0.00222158 0.179846;
 -0.00332218 -0.00223499 0.17977;
 -0.00331813 -0.00223227 0.179862;
 -0.00330151 -0.00222109 0.179327;
 -0.00330005 -0.00222011 0.180161;
 -0.00326954 -0.00219958 0.179939;
 -0.00330236 -0.00222166 0.179461;
 -0.00332698 -0.00223822 0.18014;
 -0.00333928 -0.0022465 0.179917;
 -0.00335303 -0.00225575 0.179929;
 -0.00329862 -0.00221914 0.179875;
 -0.00331379 -0.00222935 0.180503;
 -0.00325949 -0.00219282 0.179627;
 -0.00331798 -0.00223217 0.179911;
 -0.00329624 -0.00221754 0.180409;
 -0.00339528 -0.00228417 0.179945;
 -0.00336297 -0.00226243 0.180217;
 -0.00329728 -0.00221824 0.179752;
 -0.00324568 -0.00218353 0.17911;
 -0.00331025 -0.00222696 0.180343;
 -0.00333855 -0.002246 0.180812;
 -0.00326237 -0.00219475 0.179555;
 -0.00327855 -0.00220564 0.179831;
 -0.00333484 -0.00224351 0.18027;
 -0.00333482 -0.0022435 0.180763;
 -0.00327731 -0.0022048 0.179354;
 -0.00330631 -0.00222431 0.18009;
 -0.00332752 -0.00223859 0.179829;
 -0.00334776 -0.0022522 0.180219;
 -0.00332324 -0.00223571 0.180235;
 -0.00330504 -0.00222346 0.179851;
 -0.00330071 -0.00222055 0.179879;
 -0.00332169 -0.00223466 0.179667;
 -0.00333309 -0.00224233 0.180114;
 -0.00333907 -0.00224635 0.180211;
 -0.00332793 -0.00223886 0.179873;
 -0.00331796 -0.00223216 0.179755;
 -0.00332616 -0.00223767 0.179987;
 -0.00328044 -0.00220691 0.179681;
 -0.00333388 -0.00224287 0.180188;
 -0.00333211 -0.00224167 0.180646;
 -0.00331464 -0.00222992 0.180125;
 -0.00330022 -0.00222022 0.179997;
 -0.0033201 -0.00223359 0.179558;
 -0.0033043 -0.00222296 0.179757;
 -0.00335808 -0.00225915 0.180052;
 -0.00331399 -0.00222949 0.180398;
 -0.00331425 -0.00222966 0.180417;
 -0.00335572 -0.00225755 0.180224;
 -0.00326036 -0.0021934 0.18011;
 -0.00334896 -0.00225301 0.180178;
 -0.00327594 -0.00220388 0.178867;
 -0.00336592 -0.00226442 0.180136;
 -0.00329615 -0.00221748 0.179301;
 -0.00335123 -0.00225454 0.18024;
 -0.00334153 -0.00224801 0.180384;
 -0.00330846 -0.00222576 0.180006;
 -0.00337638 -0.00227146 0.179973;
 -0.00331938 -0.00223311 0.179722;
 -0.00326341 -0.00219545 0.179781;
 -0.00328829 -0.00221219 0.179305;
 -0.00331698 -0.0022315 0.179519;
 -0.00329244 -0.00221499 0.179596;
 -0.00332214 -0.00223496 0.179803;
 -0.00332638 -0.00223782 0.180902;
 -0.00329811 -0.0022188 0.180388;
 -0.00330147 -0.00222106 0.179996;
 -0.00328411 -0.00220938 0.179964;
 -0.0033318 -0.00224146 0.17989;
 -0.0033169 -0.00223144 0.179695;
 -0.0033088 -0.00222599 0.180145;
 -0.00337626 -0.00227137 0.180751;
 -0.00334094 -0.00224761 0.180294;
 -0.00333663 -0.00224471 0.180187;
 -0.00332751 -0.00223858 0.180014;
 -0.00331924 -0.00223302 0.180325;
 -0.00334032 -0.0022472 0.179787;
 -0.00332686 -0.00223814 0.179585;
 -0.00330933 -0.00222635 0.179887;
 -0.00334114 -0.00224775 0.180002;
 -0.00329989 -0.00222 0.180003;
 -0.00332231 -0.00223508 0.179834;
 -0.0032936 -0.00221577 0.179648;
 -0.00327983 -0.0022065 0.180295;
 -0.00330677 -0.00222462 0.180174;
 -0.00336652 -0.00226482 0.179658;
 -0.00331667 -0.00223128 0.179898;
 -0.00331906 -0.00223289 0.179857;
 -0.00331545 -0.00223046 0.179606;
 -0.00331417 -0.0022296 0.180125;
 -0.00334457 -0.00225005 0.180269;
 -0.00332088 -0.00223412 0.18056;
 -0.00331373 -0.00222931 0.179938;
 -0.00330033 -0.00222029 0.179876;
 -0.00332431 -0.00223643 0.180051;
 -0.00327648 -0.00220425 0.179421;
 -0.00330322 -0.00222223 0.179737;
 -0.00334518 -0.00225046 0.180183;
 -0.00334303 -0.00224902 0.180457;
 -0.00331622 -0.00223098 0.180087;
 -0.00333331 -0.00224248 0.180043;
 -0.0033609 -0.00226104 0.180743;
 -0.00328514 -0.00221007 0.179894;
 -0.00333956 -0.00224669 0.180335;
 -0.00327871 -0.00220575 0.179674;
 -0.0033255 -0.00223722 0.180041;
 -0.00336386 -0.00226303 0.18012;
 -0.0033165 -0.00223117 0.180313;
 -0.00333885 -0.00224621 0.179459;
 -0.00331031 -0.00222701 0.180189;
 -0.00328784 -0.00221189 0.179905;
